date,cyclic_index,frame,lon_jupiter,lon_saturn,lon_uranus,lon_neptune,lon_pluto
1970-09-10,836.138413335796,heliocentric,221.9031687484466,46.85451322040706,188.90494591858658,240.1875633308634,177.16701219100497
1970-09-17,836.6966390433156,heliocentric,222.43862294917224,47.10845199334725,188.99514044617982,240.22899291652686,177.21084435069406
1970-09-24,837.2551530744846,heliocentric,222.97446643593437,47.36262472343996,189.08548142581395,240.27057378606037,177.2548389613125
1970-10-01,837.8139651558756,heliocentric,223.51031249026514,47.616639802532205,189.1755777578638,240.31191479529775,177.29860490509284
1970-10-08,838.3730851785542,heliocentric,224.04663072726382,47.87096190414846,189.2658946370821,240.35348112623157,177.34260736006982
1970-10-15,838.9325227145464,heliocentric,224.58303591364037,48.12520102399276,189.3560424846137,240.39488321407902,177.38645674645343
1970-10-22,839.4922870722438,heliocentric,225.11993016767158,48.3797546305374,189.44641914339488,240.4365189120384,177.43055091305067
1970-10-29,840.052387563097,heliocentric,225.65681708017348,48.63412165633311,189.5365239385612,240.47788754535728,177.47438918764917
1970-11-05,840.6128335849385,heliocentric,226.19426743994282,48.888868189937234,189.62692338133877,240.51955562241486,177.51853807995118
1970-11-12,841.1736346039143,heliocentric,226.73176667884496,49.14347493366455,189.7170986166342,240.56100428785456,177.56247873107787
1970-11-19,841.7348001181678,heliocentric,227.26981736281758,49.39843971351327,189.8075479216001,240.60273182371802,177.60670941393843
1970-11-26,842.2963396236676,heliocentric,227.80786208290152,49.65320038669776,189.89770960430087,240.64417654881638,177.65066843318638
1970-12-03,842.8582625867692,heliocentric,228.34652191942521,49.90837331805865,189.98820047453086,240.68595528875517,177.69497259673713
1970-12-10,843.4205784355288,heliocentric,228.8852018558144,50.16335879598355,190.07842126064443,240.72746879015844,177.7390226322249
1970-12-17,843.983296609259,heliocentric,229.4244411289627,50.41869135651448,190.16890694985509,240.76925205686103,177.7833535246798
1970-12-24,844.5464267141724,heliocentric,229.96368238571122,50.6738088677778,190.2590959070154,240.81074346987535,177.82740363072259
